Материаловедение в производстве изделий легкой промышленности
Технологические процессы в машиностроении. Назначение режимов резания и нормирование операций механической обработки заготовок в машиностроении
Назначение рациональных режимов резания при механической обработке
Энциклопедия деревообработки
Введение в механику материалов и конструкций
Материаловедение сварки. Сварка плавлением
Современные конструкционные материалы для машиностроения
Основы резания материалов и режущий инструмент
История развития вяжущих материалов
Материаловедение
Электротехническое материаловедение
Материаловедение. Технология конструкционных материалов
Композиционные материалы в машиностроении. Керамические материалы
Материалы для современных конструкций с искусственным интеллектом
Процессы формообразования деталей машин
Материаловедение для транспортного машиностроения
Специальные методы обработки заготовок в машиностроении
Специальные материалы в машиностроении
Материаловедение и технология конструкционных материалов
Специальный раздел механики. Деформации и разрушение стальных изделий
Теоретические основы физического материаловедения. Статистическая термодинамика модельных систем
